Arts & Entertainment,Zoo,Zoos,باغ وحش,باغ وحش ها
Arts & Entertainment,Circus,Circuses,سیرک,سیرک‎ها
Arts & Entertainment,Art Gallery,Art Galleries,گالری هنر,گالری های هنری
Arts & Entertainment,karting,Go Kart Tracks,کارتینگ,کارتینگ
Arts & Entertainment,General Entertainment,General Entertainments,سرگرمی عمومی,سرگرمی‎های عمومی
Arts & Entertainment,Amphitheater,Amphitheaters,امفي تئاتر,سالنهای آمفی تئاتر
Arts & Entertainment,Pool Hall,Pool Halls,استخر سرپوشیده,استخرهای سرپوشیده
Asian Restaurants,Thai Restaurant,Thai Restaurants,رستوران تایلندی,رستورانهای تایلندی
Asian Restaurants,Mongolian Restaurant,Mongolian Restaurants,رستوران مغولی,رستوران های مغولی
Asian Restaurants,Korean Restaurant,Korean Restaurants,رستوران کره ای,رستوران های کره ای
Asian Restaurants,Chinese Restaurant,Chinese Restaurants,رستوران چینی,رستوران های چینی
Asian Restaurants,Japanese Restaurant,Japanese Restaurants,رستوران ژاپنی,رستوران های ژاپنی
Athletics & Sports,Rugby Pitch,Rugby Pitches,زمین راگبی,زمین های راگبی
Athletics & Sports,Paintball Field,Paintball Fields,زمین پینت بال,زمین های پینت بال
Athletics & Sports,Skating Rink,Skating Rinks,پیست اسکیت,پیستهای اسکیت
Athletics & Sports,Soccer Field,Soccer Fields,زمین فوتبال,زمینهای فوتبال
Athletics & Sports,Squash Court,Squash Courts,زمین بازی اسکواش,سالنهای اسکواش
Athletics & Sports,Tennis Court,Tennis Courts,زمین تنیس,زمینهای تنیس
Athletics & Sports,Volleyball Court,Volleyball Courts,زمین والیبال,زمینهای والیبال
Athletics & Sports,Hockey Rink,Hockey Rinks,پیست هاکی,هاکی پیستهای
Athletics & Sports,Sports Club,Sports Clubs,باشگاه ورزشی,باشگاه های ورزشی
Athletics & Sports,Golf Course,Golf Courses,زمین گلف,زمین های گلف
Athletics & Sports,Curling Ice,Curling Ices,کرلینگ,کرلینگ
Athletics & Sports,Basketball Court,Basketball Courts,زمین بسکتبال,زمینهای بسکتبال
Athletics & Sports,Baseball Field,Baseball Fields,زمین بیس بال,زمین های بیس بال
Athletics & Sports,Bowling Green,Bowling Greens,سالن بولینگ,سالنهای بولینگ
Athletics & Sports,Badminton Court,Badminton Courts,زمین بدمینتون,بدمینتون
Athletics & Sports,Hockey Field,Hockey Fields,زمین هاکی,زمینهای هاکی
Athletics & Sports,Skate Park,Skate Parks,پارک اسکیت,پارکهای اسکیت
Beaches,Surf Spot,Surf Spots,محل موج سواری,محلهای موج سواری
Bus Stops,Bus Line,Bus Lines,خط اتوبوس,خطوط اتوبوس
Clothing Stores,Accessories Store,Accessories Stores,فروشگاه لوازم جانبی,فروشگاه های لوازم جانبی
Clothing Stores,Boutique,Boutiques,بوتیک,بوتیکها
Clothing Stores,Kids Store,Kids Stores,فروشکاه کودکان,فروشکاه های کودکان
Clothing Stores,Lingerie Store,Lingerie Stores,فروشگاه لباس زیر زنانه,فروشگاه های لباس زیر زنانه
Clothing Stores,Men's Store,Men's Stores,فروشگاه مردانه,فروشگاه های مردانه
Clothing Stores,Women's Store,Women's Stores,فروشگاه زنانه,فروشگاه های زنانه
Clothing Stores,Shoe Store,Shoe Stores,کفش فروشی,فروشگاه های کفش
College Academic Buildings,College Technology Building,College Technology Buildings,دانشکده فناوری,دانشکده های فناوری
College Academic Buildings,College Science Building,College Science Buildings,دانشکده علوم,دانشکده های علوم
College Academic Buildings,College Math Building,College Math Buildings,دانشکده ریاضی,دانشکده های ریاضی
College Academic Buildings,College History Building,College History Buildings,دانشکده تاریخ,ساختمانهای کالج تاریخ
College Academic Buildings,College Engineering Building,College Engineering Buildings,دانشکده مهندسی,دانشکده های مهندسی
College Academic Buildings,College Communications Building,College Communications Buildings,دانشکده ارتباطات,دانشکده های ارتباطات
College Academic Buildings,College Arts Building,College Arts Buildings,دانشکده هنر,دانشکده های هنر
College Stadiums,College Basketball Court,College Basketball Courts,زمین بسکتبال دانشگاه,زمین های بسکتبال دانشگاه
College Stadiums,College Baseball Diamond,College Baseball Diamonds,زمین بیسبال دانشگاه,زمینهای بیسبال دانشگاه
College Stadiums,College Track,College Tracks,زمین دو دانشگاه,زمینهای دو دانشگاه
College Stadiums,College Tennis Court,College Tennis Courts,زمین تنیس دانشگاه,زمینهای تنیس دانشگاه
College Stadiums,College Hockey Rink,College Hockey Rinks,زمین هاکی دانشگاه,زمینهای هاکی دانشگاه
College Stadiums,College Soccer Field,College Soccer Fields,زمین فوتبال دانشگاه,زمین های فوتبال دانشگاه
College Stadiums,College Cricket Pitch,College Cricket Pitches,زمین کریکت دانشگاه,زمین های کریکت دانشگاه
Colleges & Universities,Community College,Community Colleges,دانشگاه ارتباطات,دانشکده های ارتباطات
Colleges & Universities,Fraternity House,Fraternity Houses,خوابگاه برادران,خوابگاه های برادران
Colleges & Universities,Sorority House,Sororities Houses,خوابگاه خواهران,خوابگاه های خواهران
Colleges & Universities,Law School,Law Schools,دانشکده حقوق,دانشگاه های حقوق
Colleges & Universities,Medical School,Medical Schools,دانشکده پزشکی,دانشکده های پزشکی
Colleges & Universities,Student Center,Student Centers,مرکز دانشجویی,مراکز دانشجویی
Colleges & Universities,Trade School,Trade Schools,مدرسه تجارت,مدارس تجارت
Colleges & Universities,University,Universities,دانشگاه,دانشگاه ها
Colleges & Universities,School,Schools,مدرسه,مدارس
Colleges & Universities,College Classroom,College Classrooms,کلاس دانشگاه,کلاس های دانشگاه
Colleges & Universities,College Cafeteria,College Cafeterias,غذاخوری دانشگاه,غذاخوریهای دانشگاه
Colleges & Universities,College Bookstore,College Bookstores,کتابفروشی دانشگاه,کتاب فروشیهای دانشگاه
Colleges & Universities,College Auditorium,College Auditoriums,سالن اجتماعات دانشگاه,سالن های اجتماعات دانشگاه
Colleges & Universities,College Administrative Building,College Administrative Buildings,دانشکده اداری,دانشکده های اداری
Colleges & Universities,College Academic Building,College Academic Buildings,ساختمان دانشکده,ساختمان دانشکده ها
Colleges & Universities,College Theater,College Theaters,تئاتر دانشگاه,تئاتر های دانشگاه
Colleges & Universities,College Stadium,College Stadiums,ورزشگاه دانشگاه,استادیوم های دانشگاه
Colleges & Universities,College Residence Hall,College Residence Halls,تالار اقامت دانشگاه,تالارهای اقامت دانشگاه
Colleges & Universities,College Rec Center,College Rec Centers,مرکز ضبط دانشگاه,مراکز ضبط دانشگاه
Colleges & Universities,College Quad,College Quads,حیاط دانشگاه,حیاط های دانشگاه
Colleges & Universities,College Gym,College Gyms,باشگاه دانشگاه,باشگاه های دانشگاه
Colleges & Universities,College Lab,College Labs,آزمایشگاه دانشگاه,آزمایشگاه های دانشگاه
Colleges & Universities,College Library,College Libraries,کتابخانه دانشگاه,کتابخانه های دانشگاه
Dessert Shops,Cupcake Shop,Cupcake Shops,فروشگاه کاپ کیک,کاپ کیک فروشی
Dessert Shops,Ice Cream Shop,Ice Cream Shops,بستنی فروشی,مغازه های بستنی
Dessert Shops,Frozen Yogurt,Frozen Yogurt,ماست بستنی,ماست بستنی
Events,Conference,Conferences,کنفرانس,همایش ها
Events,Festival,Festivals,جشنواره,جشنواره ها
Events,Street Fair,Street Fairs,نمایشگاه خیابان,نمایشگاه خیابانی
Events,Other Event,Other Events,دیگر رویداد,سایر رویدادها
Events,Stoop Sale,Stoop Sales,بازار روز,بازارهای روز
Events,Music Festival,Music Festivals,جشنواره موسیقی,جشنواره های موسیقی
Food & Drink Shops,Butcher,Butchers,قصاب,قصابان
Food & Drink Shops,Cheese Shop,Cheese Shops,فروشگاه پنیر,مغازه های پنیر
Food & Drink Shops,Fish Market,Fish Markets,ماهی فروشی,بازارهای ماهی
Food & Drink Shops,Supermarket,Supermarkets,سوپر مارکت,سوپر مارکت ها
Food & Drink Shops,Grocery Store,Grocery Stores,خواربار فروشی,فروشگاه های مواد غذایی
Food & Drink Shops,Health Food Store,Health Food Stores,فروشگاه غذاهای سالم,فروشگاه های غذاهای سالم
Food & Drink Shops,Organic Grocery,Organic Groceries,مواد غذایی ارگانیک,مواد غذایی ارگانیک
Food & Drink Shops,Food Service,Food Services,سرویس غذا,خدمات غذایی
Foods,Foriegn Restaurant,Foriegn Restaurants,رستوران فرنگی,رستورانهای فرنگی
Foods,Asian Restaurant,Asian Restaurants,رستوران آسیایی,رستوران های آسیایی
Foods,Bakery,Bakeries,نانوایی,نانواییها
Foods,Pastelaria,Pastelarias,قنادی,قنادی ها
Foods,Breakfast Spot,Breakfast Spots,محل صبحانه,محل های صبحانه
Foods,Buffet,Buffets,بوفه,بوفه ها
Foods,Burger Joint,Burger Joints,برگر,برگر فروشیها
Foods,Cafeteria,Cafeterias,کافه تریا,سالن های غذاخوری
Foods,Café,Cafés,کافه,کافه  ها
Foods,Caucasian Restaurant,Caucasian Restaurants,رستوران قفقازی,رستورانهای قفقازی
Foods,Coffee Shop,Coffee Shops,کافی شاپ,قهوه خانه ها
Foods,Dessert Shop,Dessert Shops,فروشگاه دسر,دسر فروشیها
Foods,Donut Shop,Donut Shops,مغازه دونات,مغازه های دونات
Foods,Falafel Restaurant,Falafel Restaurants,رستوران فلافل,رستورانهای فلافل
Foods,Fast Food Restaurant,Fast Food Restaurants,رستوران فست فود,رستوران های فست فود
Foods,Food Court,Food Courts,فود کورت,فود کورتها
Foods,French Restaurant,French Restaurants,رستوران فرانسوی,رستورانهای فرانسوی
Foods,Fried Chicken Joint,Fried Chicken Joints,مرغ سوخاری,مرغ سوخاری
Foods,Greek Restaurant,Greek Restaurants,رستوران یونانی,رستورانهای یونانی
Foods,Halal Restaurant,Halal Restaurants,رستوران حلال,رستوران های حلال
Foods,Indian Restaurant,Indian Restaurants,رستوران هندی,رستوران های هندی
Foods,Italian Restaurant,Italian Restaurants,رستوران ایتالیایی,رستورانهای ایتالیایی
Foods,Juice Bar,Juice Bars,آبمیوه فروشی,آبمیوه فروشیها
Foods,Latin American Restaurant,Latin American Restaurants,رستوران آمریکای لاتین,رستورانهای آمریکای لاتین
Foods,Mexican Restaurant,Mexican Restaurants,رستوران مکزیکی,رستوران های مکزیکی
Foods,Persian Restaurant,Persian Restaurants,رستوران ایرانی,رستورانهای ایرانی
Foods,Pizza Place,Pizza Places,پیتزافروشی,پیتزا فروشیها
Foods,Restaurant,Restaurants,رستوران,رستوران ها
Foods,Salad Place,Salad Places,سالاد بار,سالاد بارها
Foods,Sandwich Place,Sandwich Places,ساندویچ فروشی,ساندویچ فروشیها
Foods,Seafood Restaurant,Seafood Restaurants,رستوران غذاهای دریایی,رستورانهای غذاهای دریایی
Foods,Steakhouse,Steakhouses,رستوران استیک,استیک فروشیها
Foods,Tea Room,Tea Rooms,چای خانه,چای خانه ها
Foods,Turkish Restaurant,Turkish Restaurants,رستوران ترکی,رستورانهای ترکی
Foods,Vegetarian / Vegan Restaurant,Vegetarian / Vegan Restaurants,رستوران گیاهی,رستورانهای گیاهی
Foods,Hookah Bar,Hookah Bars,قلیان,قلیان
Furniture / Home Stores,Lighting Store,Lighting Stores,فروشگاه روشنایی,فروشگاه های روشنایی
Government Buildings,Police Station,Police Stations,ایستگاه پلیس,ایستگاه های پلیس
Government Buildings,Monument / Landmark,Monuments / Landmarks,بنای تاریخی,بناهای تاریخی
Government Buildings,Fire Station,Fire Stations,ایستگاه آتشنشانی,ایستگاه های آتش نشانی
Government Buildings,Embassy / Consulate,Embassies / Consulates,سفارت / کنسولگری,سفارتخانه ها / کنسولگریها
Government Buildings,Courthouse,Courthouses,دادگاه,دادگاه ها
Greek Restaurants,Patsa Restaurant,Patsa Restaurants,رستوران پاستا,رستورانهای پاستا
Hotels,Motel,Motels,متل,متلها
Hotels,Resort,Resorts,استراحتگاه,استراحتگاه
Hotels,Hostel,Hostels,مهمانخانه,مهمانخانه
Indian Restaurants,Iranian Cafe,Iranian Cafes,کافه ایرانی,کافه های ایرانی
Japanese Restaurants,Sushi Restaurant,Sushi Restaurants,رستوران سوشی,سوشی
Medical Centers,Dentist's Office,Dentist's Offices,مطب دندانپزشکی,مطب های دندانپزشکی
Medical Centers,Doctor's Office,Doctor's Offices,مطب دکتر,مطب دکتر
Medical Centers,Emergency Room,Emergency Rooms,اورژانس,مراکز اورژانس
Medical Centers,Eye Doctor,Eye Doctors,چشم پزشک,چشم پزشکان
Medical Centers,Chiropractor,Chiropractors,فیزیوتراپ,کایروپراکتیک
Medical Centers,Acupuncturist,Acupuncturists,طب سوزنی,متخصصان طب سوزنی
Medical Centers,Hospital,Hospitals,بیمارستان,بیمارستانها
Medical Centers,Veterinarian,Veterinarians,دام پزشک,دامپزشکان
Medical Centers,Urgent Care Center,Urgent Care Centers,مرکز مراقبت های فوری,مراکز مراقبت های فوری
Medical Centers,Rehab Center,Rehab Centers,مرکز توانبخشی,مراکز ترک
Medical Centers,Laboratory,Laboratories,آزمایشگاه,آزمایشگاهها
Medical Centers,Maternity Clinic,Maternity Clinics,کلینیک زنان و زایمان,کلینیک های زنان و زایمان
Movie Theaters,Multiplex,Multiplexes,پردیس سینمایی,پردیس سینمایی
Museums,History Museum,History Museums,موزه تاریخی,موزه  های تاریخی
Museums,Art Museum,Art Museums,موزه هنر,موزه های هنری
Museums,Science Museum,Science Museums,موزه علمی,موزه های علمی
Outdoors & Recreation,Athletics & Sports,Athletics & Sports,ورزش و قهرمانی,ورزش و قهرمانی
Outdoors & Recreation,Pool,Pools,استخر,استخرها
Outdoors & Recreation,Bath House,Bath Houses,حمام عمومی,حمامهای عمومی
Outdoors & Recreation,Bay,Bays,ساحل,سواحل
Outdoors & Recreation,Beach,Beaches,ساحل دریا,سواحل
Outdoors & Recreation,Bike Trail,Bike Trails,مسیر دوچرخه,مسیرهای دوچرخه
Outdoors & Recreation,Botanical Garden,Botanical Gardens,باغ گیاهشناسی,باغهای گیاه شناسی
Outdoors & Recreation,Bridge,Bridges,پل,پل ها
Outdoors & Recreation,Campground,Campgrounds,اردوگاه,اردوگاهها
Outdoors & Recreation,Castle,Castles,قلعه,قلعهها
Outdoors & Recreation,Cave,Caves,غار,غارها
Outdoors & Recreation,Cemetery,Cemeteries,قبرستان,گورستان ها
Outdoors & Recreation,Dive Spot,Dive Spots,محل غواصی,نقاط غواصی
Outdoors & Recreation,Dog Run,Dog Runs,محل گردش سگ,محل های گردش سک
Outdoors & Recreation,Farm,Farms,مزرعه,مزارع
Outdoors & Recreation,Field,Fields,زمین,زمینها
Outdoors & Recreation,Fishing Spot,Fishing Spots,محل ماهیگیری,محل های ماهیگیری
Outdoors & Recreation,Forest,Forests,جنگل,جنگلها
Outdoors & Recreation,Waterfront,Waterfronts,آبنما,آبنما
Outdoors & Recreation,Garden,Gardens,باغ,باغها
Outdoors & Recreation,Harbor / Marina,Harbors / Marinas,بندر / مارینا,بنادر / اسکله
Outdoors & Recreation,Hot Spring,Hot Springs,چشمه اب گرم,چشمه های آب گرم
Outdoors & Recreation,Island,Islands,جزیره,جزایر
Outdoors & Recreation,Lake,Lakes,دریاچه,دریاچه ها
Outdoors & Recreation,Lighthouse,Lighthouses,فانوس دریایی,فانوس های دریایی
Outdoors & Recreation,Mountain,Mountains,کوه,کوه ها
Outdoors & Recreation,National Park,National Parks,پارک ملی,پارک های ملی
Outdoors & Recreation,Nature Preserve,Nature Preserves,مناطق حفاظت شده,مناطق حفاظت شده
Outdoors & Recreation,Other Great Outdoors,Other Great Outdoors,دیگر مکانهای دیدنی,سایر مکانهای دیدنی
Outdoors & Recreation,Palace,Palaces,قصر,کاخ
Outdoors & Recreation,Park,Parks,پارک,پارک ها
Outdoors & Recreation,Playground,Playgrounds,زمین بازی,زمین های بازی
Outdoors & Recreation,Plaza,Plazas,میدان,میادین
Outdoors & Recreation,Rafting,Rafting Spots,قایق سواری,محلهای قایق سواری
Outdoors & Recreation,Recreation Center,Recreation Centers,مرکز تفریح ​​و سرگرمی,مراکز تفریح ​​و سرگرمی
Outdoors & Recreation,River,Rivers,رودخانه,رودخانه ها
Outdoors & Recreation,Rock Climbing Spot,Rock Climbing Spots,نقطه صخره نوردی,نقاط صخره نوردی
Outdoors & Recreation,Scenic Lookout,Scenic Lookouts,چشم اندازها خوش منظره و زیبا,چشم اندازها خوش منظره و زیبا
Outdoors & Recreation,Ski Area,Ski Areas,پیست اسکی,پیست های اسکی
Outdoors & Recreation,Stables,Stables,اصطبل,اصطبلها
Outdoors & Recreation,States & Municipalities,States & Municipalities,شهرداری,شهرداری ها
Outdoors & Recreation,Summer Camp,Summer Camps,اردوگاه تابستانی,اردوگاههای تابستانی
Outdoors & Recreation,Vineyard,Vineyards,تاکستان,باغ های انگور
Outdoors & Recreation,Volcano,Volcanoes,آتشفشان,آتشفشانها
Outdoors & Recreation,Waterfall,Waterfalls,ابشار,آبشارها
Performing Arts Venues,Theater,Theaters,تئاتر,تئاترها
Residences,Residential Building (Apartment / Condo),Residential Buildings (Apartments / Condos),هتل آپارتمان,هتل آپارتمان
Schools,Adult Education Center,Adult Education Centers,مرکز آموزش بزرگسالان,مراکز آموزش بزرگسالان
Schools,Driving School,Driving Schools,آموزشگاه رانندگی,آموزشگاه های رانندگی
Schools,Elementary School,Elementary Schools,دبستان,مدارس ابتدایی
Schools,High School,High Schools,دبیرستان,دبیرستانها
Schools,Language School,Language Schools,مدرسه زبان,مدارس زبان
Schools,Swim School,Swim Schools,مدرسه شنا,مدارس شنا
Schools,Music School,Music Schools,آموزشگاه موسیقی,مدارس موسیقی
Schools,Preschool,Preschools,پیش دبستانی,کودکستانها
Schools,Private School,Private Schools,مدرسه خصوصی,مدارس خصوصی
Schools,Religious School,Religious Schools,مدرسه مذهبی,مدارس مذهبی
Schools,Middle School,Middle Schools,راهنمایی,مدارس راهنمایی
Shops & Services,Shipping Store,Shipping Stores,حمل و نقل,حمل و نقل
Shops & Services,Shoe Repair,Shoe Repair Shops,تعمیر کفش,مغازه های تعمیرات کفش
Shops & Services,Shopping Mall,Shopping Malls,مرکز خرید,مراکز خرید
Shops & Services,Ski Shop,Ski Shops,فروشگاه اسکی,مغازه های اسکی
Shops & Services,Souvenir Shop,Souvenir Shops,فروشگاه سوغاتی,مغازه های سوغات
Shops & Services,Spa,Spas,سالن ماساژ,سالن های ماساژ
Shops & Services,Sporting Goods Shop,Sporting Goods Shops,فروشگاه کالاهای ورزشی,فروشگاه های کالاهای ورزشی
Shops & Services,Stationery Store,Stationery Stores,فروشگاه لوازم التحریر,فروشگاه های لوازم التحریر
Shops & Services,Storage Facility,Storage Facilities,تجهیزات ذخیره سازی,تجهیزات ذخیره سازی
Shops & Services,Tailor Shop,Tailor Shops,فروشگاه خیاط,مغازه های خیاطی
Shops & Services,Tanning Salon,Tanning Salons,سالن برنزه,سالن های برنزه
Shops & Services,Tattoo Parlor,Tattoo Parlors,سالن تاتو,سالنهای تاتو
Shops & Services,Toy / Game Store,Toy / Game Stores,اسباب بازی / فروشگاه بازی,اسباب بازی / فروشگاه بازی
Shops & Services,Travel Agency,Travel Agencies,آژانس مسافرتی,آژانس های مسافرتی
Shops & Services,Used Bookstore,Used Bookstores,فروش کتاب دست دوم,فروشگاههای کتاب دست دوم
Shops & Services,Video Game Store,Video Game Stores,فروشگاه بازیهای ویدئویی,فروشگاه های بازی های ویدئویی
Shops & Services,Video Store,Video Stores,فروشگاه ویدئو,فروشگاه های ویدیو
Shops & Services,Watch Shop,Watch Shops,ساعت فروشی,ساعت فروشی ها
Shops & Services,Smoke Shop,Smoke Shops,سیگار فروشی,سیگار فروشی
Shops & Services,Fair,Fairs,نمایشگاه,نمایشگاه ها
Shops & Services,Camera Store,Camera Stores,فروشگاه دوربین,فروشگاه های دوربین
Shops & Services,Candy Store,Candy Stores,مغازه شکلات فروشی,شکلات فروشی ها
Shops & Services,Car Dealership,Car Dealerships,نمایندگی خودرو,نمایندگی های مجاز خودرو
Shops & Services,Car Wash,Car Washes,کارواش,کارواشها
Shops & Services,Carpet Store,Carpet Stores,فروشگاه فرش,فرش فروشی ها
Shops & Services,Chocolate Shop,Chocolate Shops,فروشگاه شکلات,مغازه های شکلات
Shops & Services,Clothing Store,Clothing Stores,فروشگاه پوشاک,فروشگاه های پوشاک
Shops & Services,Construction & Landscaping,Construction & Landscaping,ساخت و ساز و محوطه,ساخت و ساز و محوطه
Shops & Services,Cosmetics Shop,Cosmetics Shops,مغازه آرایشی و بهداشتی,مغازه های آرایشی و بهداشتی
Shops & Services,Daycare,Daycares,مهد کودک,مهد کودکها
Shops & Services,Department Store,Department Stores,فروشگاه بزرگ,فروشگاه های بزرگ
Shops & Services,Design Studio,Design Studios,استودیوی طراحی,استودیوهای طراحی
Shops & Services,Dive Shop,Dive Shops,فروشگاه لوازم غواصی,فروشگاه های لوازم غواصی
Shops & Services,Drugstore / Pharmacy,Drugstores / Pharmacies,داروخانه / داروسازی,داروخانه ها
Shops & Services,Dry Cleaner,Dry Cleaners,خشکشویی / نظافت,خشکشویی ها
Shops & Services,Electronics Store,Electronics Stores,فروشگاه لوازم الکترونیکی,فروشگاه های قطعات الکترونیکی
Shops & Services,Fabric Shop,Fabric Shops,فروشگاه پارچه,مغازه های پارچه
Shops & Services,Film Studio,Film Studios,استودیو فیلم,استودیوهای فیلم
Shops & Services,Fishing Store,Fishing Stores,فروشگاه ماهیگیری,فروشگاه های ماهیگیری
Shops & Services,Flower Shop,Flower Shops,گل فروشی,گل فروشی ها
Shops & Services,Food & Drink Shop,Food & Drink Shops,فروشگاه غذا و نوشیدنی,فروشگاه های غذا و نوشیدنی
Shops & Services,Frame Store,Frame Stores,فروشگاه قاب,فروشگاه های قاب
Shops & Services,Fruit & Vegetable Store,Fruit & Vegetable Stores,فروشگاه سبزیجات، میوه ها,فروشگاه های سبزیجات، میوه ها
Shops & Services,Furniture / Home Store,Furniture / Home Stores,فروشگاه مبلمان / خانه,فروشگاه های مبلمان / خانه
Shops & Services,Gaming Cafe,Gaming Cafes,کافه بازی,کافه های بازی
Shops & Services,Gas Station,Gas Stations,پمپ بنزین,ایستگاه های گاز
Shops & Services,Gift Shop,Gift Shops,مغازه کادو فروشی,مغازه ها هدیه فروشی
Shops & Services,Gun Shop,Gun Shops,فروشگاه تفنگ,فروشگاه های تفنگ
Shops & Services,Hardware Store,Hardware Stores,فروشگاه سخت افزار,فروشگاه های سخت افزار
Shops & Services,Health & Beauty Service,Health & Beauty Services,خدمات لوازم بهداشتی و آرایشی,خدمات لوازم بهداشتی و آرایشی
Shops & Services,Herbs & Spices Store,Herbs & Spices Stores,عطاری,عطاری ها
Shops & Services,Home Service,Home Services & Repairs,خدمات تعمیر خانه,خدمات تعمیر خانه
Shops & Services,Hunting Supply,Hunting Supplies,وسایل شکار,وسایل شکار
Shops & Services,IT Services,IT Services,خدمات IT,خدمات IT
Shops & Services,Internet Cafe,Internet Cafes,کافی نت,کافه های اینترنتی
Shops & Services,Jewelry Store,Jewelry Stores,جواهر فروشی,فروشگاه های طلا و جواهر
Shops & Services,Knitting Store,Knitting Stores,فروشگاه بافندگی,فروشگاه های بافندگی
Shops & Services,Laundry Service,Laundry Services,سرویس خشک شویی,سرویس خشک شویی
Shops & Services,Lawyer,Lawyers,وکیل,وکلا
Shops & Services,Leather Goods Store,Leather Goods Stores,فروشگاه کالاهای چرمی,فروشگاه های کالاهای چرمی
Shops & Services,Locksmith,Locksmiths,قفل ساز,کلیدسازیها
Shops & Services,Luggage Store,Luggage Stores,فروشگاه چمدان,فروشگاه های چمدان
Shops & Services,Market,Markets,بازار,بازارها
Shops & Services,Massage Studio,Massage Studios,استودیو ماساژ,استودیو های ماساژ
Shops & Services,Mattress Store,Mattress Stores,فروشگاه تشک,فروشگاه های تشک
Shops & Services,Miscellaneous Shop,Miscellaneous Shops,سایر فروشگاه ها,سایر فروشگاه ها
Shops & Services,Mobile Phone Shop,Mobile Phone Shops,فروشگاه تلفن همراه,فروشگاه های تلفن همراه
Shops & Services,Motorcycle Shop,Motorcycle Shops,فروشگاه موتور سیکلت,فروشگاه های موتورسیکلت
Shops & Services,Music Store,Music Stores,فروشگاه موسیقی,فروشگاه های موسیقی
Shops & Services,Nail Salon,Nail Salons,سالن ناخن,سالنهای ناخن
Shops & Services,Newsstand,Newsstands,دکه روزنامه فروشی,دکه های روزنامه فروشی
Shops & Services,Optical Shop,Optical Shops,فروشگاه عینک,عینک فروشی ها
Shops & Services,Outlet Store,Outlet Stores,فروشگاه حراجی,فروشگاه های حراجی
Shops & Services,Paper / Office Supplies Store,Paper / Office Supplies Stores,فروشگاه لوازم کاغذ / دفتر,فروشگاه های لوازم کاغذ / دفتر
Shops & Services,Perfume Shop,Perfume Shops,مغازه عطر,مغازه های عطر
Shops & Services,Pet Service,Pet Services,خدمات حیوان خانگی,خدمات حیوان خانگی
Shops & Services,Pet Store,Pet Stores,فروشگاه حیوان خانگی,فروشگاه های حیوانات خانگی
Shops & Services,Photography Lab,Photography Labs,لابراتوار عکاسی,لابراتوارهای عکاسی
Shops & Services,Photography Studio,Photography Studios,استودیو عکاسی,استودیو های عکاسی
Shops & Services,Print Shop,Print Shops,چاپ,چاپخانه ها
Shops & Services,Real Estate Office,Real Estate Offices,دفتر املاک و مستغلات,دفاتر املاک و مستغلات
Shops & Services,Recording Studio,Recording Studios,استودیوی ضبط,استودیو های ضبط
Shops & Services,Recycling Facility,Recycling Facilities,مرکز بازیافت,مراکز بازیافت
Shops & Services,Salon / Barbershop,Salons / Barbershops,سالن / آرایشگاه,سالن / آرایشگاه
Shops & Services,Animal Shelter,Animal Shelters,پناهگاه حیوانات,پناهگاه های حیوانات
Shops & Services,Auditorium,Auditoriums,سالن کنفرانس,سالنهای کنفرانس
